Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
Global fishing watch,Improved Fisheries,nan,"tensor(0.5198, device='mps:0')","Sustainability through transparency in global fishing activity Our Oxygenators*TM use 100% wave power to endlessly store carbon in the deep ocean. Access to our far-offshore satellite-controlled, real-time decarbonization network is strictly limited to exclusive corporate licensees, who cover their position as a straight equity holding via Stock For Carbon, thereby capturing carbon at zero direct dollar cost.",Sustainable fishing practices that ensure fish stocks' longevity and reduce environmental impact.,https://www.globalfishingwatch.org
Bureo,Improved Fisheries,nan,"tensor(0.4410, device='mps:0')",Quality materials made from recycled fishing nets,Sustainable fishing practices that ensure fish stocks' longevity and reduce environmental impact.,https://www.bureo.co
Goodments,Improved Fisheries,nan,"tensor(0.3871, device='mps:0')","Empowering a new generation to make money and do good Goodments creates sustainable investing solutions for advice professionals and individual customers. Focussing on tools that help our customers engage with sustainable and responsible investing. Our goal is to play a key role in redirecting capital to environmentally sustainable, socially responsible and ethical business. We believe that this will lead to better long term performance for our customers'​ investments, secure our planet's future and make it it a more equal and ethical place to live",Sustainable fishing practices that ensure fish stocks' longevity and reduce environmental impact.,https://www.goodments.com
Love the wild,Improved Fisheries,nan,"tensor(0.3788, device='mps:0')","Love The Wild creates exciting dinner solutions that are not only delicious, nutritious, and ecologically responsible. We pair sustainable fish fillets with bold, flavorful sauces so you can eat delicious & healthy seafood at home, protect the oceans, and #LoveTheWild.",Sustainable fishing practices that ensure fish stocks' longevity and reduce environmental impact.,https://www.lovethewild.com
Ethic investments,Improved Fisheries,nan,"tensor(0.3762, device='mps:0')",Ethic powers sustainable solutions for advisors and institutions. We believe in a future where all investing is sustainable investing.,Sustainable fishing practices that ensure fish stocks' longevity and reduce environmental impact.,https://www.ethic.investments
Nitricity,Improved Manure Management,nan,"tensor(0.5100, device='mps:0')","Renewable on-site nitrogen fertilizer production Nitricity produces ready-to-use nitrogen with only air, water, and renewable electricity. Today, the global supply of fertilizer is fueled by coal and natural gas and travels through a complex supply chain to farms around the world. Fertilizer distribution is a hazardous and expensive process involving substantial storage and transportation infrastructure that stretches over thousands of miles. As a result, fertilizer costs are inflated and farmers are often forced to make decisions based on prices rather than plants. Furthermore, entrenched supply chains often miss developing economies, so nitrogen is not available where it is often needed most. Nitricity produces nitrogen fertilizer directly at the point of use. Our technology has the potential to produce cost-effective fertilizer for environmentally conscious farms, as well as for developing markets outside of traditional supply chain infrastructure. Removing the long supply chain allows farmers to apply fertilizers when their fields are ready, reducing wasteful runoff and maximizing nitrogen delivery anywhere in the world.","Methods that optimize manure handling in agriculture, reducing methane and other emissions.",https://www.nitricity.co
Tao capital partners,Improved Rice Production,nan,"tensor(0.2562, device='mps:0')","Tao Capital Partners invests in technology, transportation, healthcare, education, and food businesses.",Farming practices that optimize rice growth and reduce methane emissions typically associated with paddy fields.,https://www.taocap.com/home-1
Woodland trust,Indigenous Peoples’ Forest Tenure,nan,"tensor(0.5811, device='mps:0')","We want to see a UK rich in native woods and trees, for people and wildlife. Conservation charity concerned with the creation, protection, & restoration of native woodland",Recognition and support for indigenous communities' rights and roles in forest management and conservation.,https://www.woodlandtrust.org.uk
Conservation job board,Indigenous Peoples’ Forest Tenure,nan,"tensor(0.5358, device='mps:0')",Conservation Job Board is a forestry company located in Buffalo.,Recognition and support for indigenous communities' rights and roles in forest management and conservation.,https://www.conservationjobboard.com
Cooperative conservation america,Indigenous Peoples’ Forest Tenure,nan,"tensor(0.4753, device='mps:0')",The only database of Cooperative Conservation Success Stories,Recognition and support for indigenous communities' rights and roles in forest management and conservation.,https://www.cooperativeconservation.org
Naturevest,Indigenous Peoples’ Forest Tenure,nan,"tensor(0.4633, device='mps:0')",The Nature Conservancy is a non-profit conservation organization that works around the world to protect ecologically lands and waters.,Recognition and support for indigenous communities' rights and roles in forest management and conservation.,https://www.nature.org/en-us/about-us/who-we-are/how-we-work/finance-investing/naturevest
Nature conservancy,Indigenous Peoples’ Forest Tenure,nan,"tensor(0.4633, device='mps:0')",The Nature Conservancy is a non-profit conservation organization that works around the world to protect ecologically lands and waters.,Recognition and support for indigenous communities' rights and roles in forest management and conservation.,https://www.nature.org
Radiator labs,Insulation,nan,"tensor(0.5910, device='mps:0')",Radiator Labs solves uncomfortable temperatures and wasted energy in steam-heated buildings.,"Materials used in buildings to reduce heat transfer, improving energy efficiency.",https://www.radiatorlabs.com
Heatworks,Insulation,nan,"tensor(0.5435, device='mps:0')","Heatworks provides innovative electric liquid heating products for residential, commercial, and industrial applications. We’re meticulous about making products better. Those that improve the comfort of our homes, the quality of our lives and preserve Earth’s precious resources.","Materials used in buildings to reduce heat transfer, improving energy efficiency.",https://www.myheatworks.com
